Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,,,,2021-10-22 11:20:16,2021-10-22 11:43:36,23m - 20.559s,FAILED
,,,,,,,
Test Cases/Mobile/Scenario/Register/001 - Registrasi dengan Akun Terdaftar,,,,2021-10-22 11:20:17,2021-10-22 11:20:48,31.387s,FAILED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:20:17,2021-10-22 11:20:28,10.876s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":0, ""negativeStatus"":""isRegistered""], STOP_ON_FAILURE)",,,,2021-10-22 11:20:28,2021-10-22 11:20:48,20.192s,FAILED
,,,,,,,
Test Cases/Mobile/Scenario/Register/002 - Registrasi akun baru dengan alamat sesuai KTP,,,,2021-10-22 11:20:48,2021-10-22 11:23:30,2m - 41.814s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:20:48,2021-10-22 11:20:55,6.808s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":0, ""isBedaAlamat"":0, ""isUseReferralCode"":0, ""negativeStatus"":""none""], STOP_ON_FAILURE)",,,,2021-10-22 11:20:55,2021-10-22 11:23:22,2m - 27.082s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:23:22,2021-10-22 11:23:30,7.652s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Register/003 - Registrasi akun baru dengan alamat berbeda dengan KTP,,,,2021-10-22 11:23:30,2021-10-22 11:24:56,1m - 25.852s,FAILED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:23:30,2021-10-22 11:23:37,6.861s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":0, ""isBedaAlamat"":1, ""isUseReferralCode"":0, ""negativeStatus"":""none""], STOP_ON_FAILURE)",,,,2021-10-22 11:23:37,2021-10-22 11:24:56,1m - 18.771s,FAILED
,,,,,,,
Test Cases/Mobile/Scenario/Register/004 - Registrasi akun baru dengan alamat sesuai KTP menggunakan Refferal Code,,,,2021-10-22 11:24:56,2021-10-22 11:28:49,3m - 53.107s,FAILED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:24:56,2021-10-22 11:25:03,6.881s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":0, ""isBedaAlamat"":1, ""isUseReferralCode"":1, ""negativeStatus"":""none""], STOP_ON_FAILURE)",,,,2021-10-22 11:25:03,2021-10-22 11:28:49,3m - 45.958s,FAILED
,,,,,,,
Test Cases/Mobile/Scenario/Register/005 - Registrasi akun baru dengan alamat berbeda dengan KTP menggunakan Refferal Code,,,,2021-10-22 11:28:49,2021-10-22 11:30:03,1m - 14.438s,FAILED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:28:49,2021-10-22 11:28:56,6.836s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":0, ""isBedaAlamat"":1, ""isUseReferralCode"":1, ""negativeStatus"":""none""], STOP_ON_FAILURE)",,,,2021-10-22 11:28:56,2021-10-22 11:30:03,1m - 7.376s,FAILED
,,,,,,,
Test Cases/Mobile/Scenario/Register/006 - Registrasi akun baru dengan alamat sesuai KTP dan tidak mengisi kolom signature,,,,2021-10-22 11:30:03,2021-10-22 11:31:18,1m - 14.283s,FAILED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:30:04,2021-10-22 11:30:10,6.732s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":0, ""isBedaAlamat"":0, ""isUseReferralCode"":0, ""negativeStatus"":""isNotUseSignature""], STOP_ON_FAILURE)",,,,2021-10-22 11:30:10,2021-10-22 11:31:18,1m - 7.321s,FAILED
,,,,,,,
Test Cases/Mobile/Scenario/Register/007 - Registrasi akun baru dengan foto bukan KTP,,,,2021-10-22 11:31:18,2021-10-22 11:32:32,1m - 14.280s,FAILED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:31:18,2021-10-22 11:31:25,6.770s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":0, ""isBedaAlamat"":0, ""isUseReferralCode"":0, ""negativeStatus"":""none""], STOP_ON_FAILURE)",,,,2021-10-22 11:31:25,2021-10-22 11:32:32,1m - 7.293s,FAILED
,,,,,,,
Test Cases/Mobile/Scenario/Register/008 - Registrasi melalui Link Daftar di sini,,,,2021-10-22 11:32:32,2021-10-22 11:33:40,1m - 7.769s,FAILED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:32:32,2021-10-22 11:32:39,6.809s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":1, ""isBedaAlamat"":0, ""isUseReferralCode"":0, ""negativeStatus"":""none""], STOP_ON_FAILURE)",,,,2021-10-22 11:32:39,2021-10-22 11:33:40,1m - 0.724s,FAILED
,,,,,,,
Test Cases/Mobile/Scenario/Register/009 - Registrasi dengan alamat email terdaftar,,,,2021-10-22 11:33:40,2021-10-22 11:34:54,1m - 14.418s,FAILED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:33:40,2021-10-22 11:33:47,6.906s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":0, ""isBedaAlamat"":0, ""isUseReferralCode"":0, ""negativeStatus"":""isCheckEmailRegistered""], STOP_ON_FAILURE)",,,,2021-10-22 11:33:47,2021-10-22 11:34:54,1m - 7.266s,FAILED
,,,,,,,
Test Cases/Mobile/Scenario/Register/010 - Registrasi dengan alamat email berbeda,,,,2021-10-22 11:34:54,2021-10-22 11:36:09,1m - 14.713s,FAILED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:34:54,2021-10-22 11:35:01,7.051s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":0, ""isBedaAlamat"":0, ""isUseReferralCode"":0, ""negativeStatus"":""isCheckEmailMatch""], STOP_ON_FAILURE)",,,,2021-10-22 11:35:01,2021-10-22 11:36:09,1m - 7.437s,FAILED
,,,,,,,
Test Cases/Mobile/Scenario/Register/011 - Registrasi dengan umur di bawah 17 tahun,,,,2021-10-22 11:36:09,2021-10-22 11:37:23,1m - 14.661s,FAILED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:36:09,2021-10-22 11:36:16,7.109s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":0, ""isBedaAlamat"":0, ""isUseReferralCode"":0, ""negativeStatus"":""isCheckDateOfBirth""], STOP_ON_FAILURE)",,,,2021-10-22 11:36:16,2021-10-22 11:37:23,1m - 7.325s,FAILED
,,,,,,,
Test Cases/Mobile/Scenario/Register/012 - Registrasi dengan nomor handphone di luar Indonesia,,,,2021-10-22 11:37:23,2021-10-22 11:38:38,1m - 14.582s,FAILED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:37:24,2021-10-22 11:37:31,7.015s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":0, ""isBedaAlamat"":0, ""isUseReferralCode"":0, ""negativeStatus"":""isPhoneNumberNonIndo""], STOP_ON_FAILURE)",,,,2021-10-22 11:37:31,2021-10-22 11:38:38,1m - 7.342s,FAILED
,,,,,,,
Test Cases/Mobile/Scenario/Register/013 - Registrasi dengan password angka,,,,2021-10-22 11:38:38,2021-10-22 11:39:53,1m - 14.622s,FAILED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:38:38,2021-10-22 11:38:45,6.958s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":0, ""isBedaAlamat"":0, ""isUseReferralCode"":0, ""negativeStatus"":""isPasswordNumberOnly""], STOP_ON_FAILURE)",,,,2021-10-22 11:38:45,2021-10-22 11:39:53,1m - 7.443s,FAILED
,,,,,,,
Test Cases/Mobile/Scenario/Register/014 - Registrasi dengan Kode Pos tidak sesuai dengan propinsi,,,,2021-10-22 11:39:53,2021-10-22 11:41:07,1m - 14.637s,FAILED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:39:53,2021-10-22 11:40:00,6.924s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":0, ""isBedaAlamat"":1, ""isUseReferralCode"":0, ""negativeStatus"":""isPostalCodeIncorrect""], STOP_ON_FAILURE)",,,,2021-10-22 11:40:00,2021-10-22 11:41:07,1m - 7.450s,FAILED
,,,,,,,
Test Cases/Mobile/Scenario/Register/015 - Memasukkan detail Bank Account (branch) dengan KCP (angka),,,,2021-10-22 11:41:07,2021-10-22 11:42:22,1m - 14.684s,FAILED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:41:08,2021-10-22 11:41:15,6.966s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":0, ""isBedaAlamat"":0, ""isUseReferralCode"":0, ""negativeStatus"":""isBranchNumber""], STOP_ON_FAILURE)",,,,2021-10-22 11:41:15,2021-10-22 11:42:22,1m - 7.463s,FAILED
,,,,,,,
Test Cases/Mobile/Scenario/Register/016 - User memasukkan nama di rekening berbeda dengan nama akun,,,,2021-10-22 11:42:22,2021-10-22 11:43:36,1m - 14.482s,FAILED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-10-22 11:42:22,2021-10-22 11:42:29,6.824s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Register/Register""), [""isFromLoginPage"":0, ""isBedaAlamat"":0, ""isUseReferralCode"":0, ""negativeStatus"":""isNameOwnerNotMatch""], STOP_ON_FAILURE)",,,,2021-10-22 11:42:29,2021-10-22 11:43:36,1m - 7.428s,FAILED
