Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
analysis,,,,2021-12-06 08:18:50,2021-12-06 08:23:22,4m - 31.659s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Analysis/001 - User akses techincal analysis,,,,2021-12-06 08:18:51,2021-12-06 08:20:07,1m - 15.763s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:18:51,2021-12-06 08:19:07,16.126s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Analysis/Analysis""), [""action"":""technicalsearch""], CONTINUE_ON_FAILURE)",,,,2021-12-06 08:19:07,2021-12-06 08:19:56,48.720s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:19:56,2021-12-06 08:20:07,10.562s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Analysis/002 - User memilih salah satu saham (chart),,,,2021-12-06 08:20:07,2021-12-06 08:21:12,1m - 5.514s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:20:07,2021-12-06 08:20:19,11.610s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Analysis/Analysis""), [""action"":""technicaldetail""], CONTINUE_ON_FAILURE)",,,,2021-12-06 08:20:19,2021-12-06 08:21:02,43.021s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:21:02,2021-12-06 08:21:12,10.604s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Analysis/003 - User memilh Research Report,,,,2021-12-06 08:21:12,2021-12-06 08:22:16,1m - 3.792s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:21:12,2021-12-06 08:21:24,11.940s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Analysis/Analysis""), [""action"":""researchdetail""], CONTINUE_ON_FAILURE)",,,,2021-12-06 08:21:24,2021-12-06 08:22:05,40.850s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:22:05,2021-12-06 08:22:16,10.763s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Analysis/004 - User mencari research report,,,,2021-12-06 08:22:16,2021-12-06 08:23:22,1m - 5.814s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:22:16,2021-12-06 08:22:28,11.933s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Analysis/Analysis""), [""action"":""researchsearch""], CONTINUE_ON_FAILURE)",,,,2021-12-06 08:22:28,2021-12-06 08:23:11,42.842s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2021-12-06 08:23:11,2021-12-06 08:23:22,10.788s,PASSED
