Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login,,,,2022-02-23 13:03:40,2022-02-23 13:07:56,4m - 15.931s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Login/001 - Login dengan username,,,,2022-02-23 13:03:41,2022-02-23 13:04:42,1m - 1.334s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-02-23 13:03:41,2022-02-23 13:03:57,15.630s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Login/Login""), [""action"":""username""], CONTINUE_ON_FAILURE)",,,,2022-02-23 13:03:57,2022-02-23 13:04:30,33.633s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-02-23 13:04:30,2022-02-23 13:04:42,11.731s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Login/002 - Login dengan password salah,,,,2022-02-23 13:04:42,2022-02-23 13:05:26,44.308s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-02-23 13:04:42,2022-02-23 13:04:55,12.783s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Login/Login""), [""action"":""wrongpassword""], CONTINUE_ON_FAILURE)",,,,2022-02-23 13:04:55,2022-02-23 13:05:16,21.198s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-02-23 13:05:16,2022-02-23 13:05:26,10.112s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Login/003 - Login tanpa internet,,,,2022-02-23 13:05:26,2022-02-23 13:06:22,56.141s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-02-23 13:05:26,2022-02-23 13:05:38,11.417s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Login/Login""), [""action"":""nointernet""], CONTINUE_ON_FAILURE)",,,,2022-02-23 13:05:38,2022-02-23 13:06:11,33.467s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-02-23 13:06:11,2022-02-23 13:06:22,11.025s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Login/004 - Login dengan mengaktifkan visible password,,,,2022-02-23 13:06:22,2022-02-23 13:07:06,43.498s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-02-23 13:06:23,2022-02-23 13:06:34,11.439s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Login/Login""), [""action"":""visiblepassword""], CONTINUE_ON_FAILURE)",,,,2022-02-23 13:06:34,2022-02-23 13:06:54,19.871s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-02-23 13:06:54,2022-02-23 13:07:06,11.944s,PASSED
,,,,,,,
Test Cases/Mobile/Scenario/Login/005 - Login menggunakan username dengan membatalkan fingerprint,,,,2022-02-23 13:07:06,2022-02-23 13:07:56,49.945s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Run App byID""), [:], STOP_ON_FAILURE)",,,,2022-02-23 13:07:06,2022-02-23 13:07:18,11.597s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Login/Login""), [""action"":""cancelfingerprint""], CONTINUE_ON_FAILURE)",,,,2022-02-23 13:07:18,2022-02-23 13:07:45,27.107s,PASSED
"callTestCase(findTestCase(""Mobile/Page/Run App/Terminate App""), [:], STOP_ON_FAILURE)",,,,2022-02-23 13:07:45,2022-02-23 13:07:56,11.017s,PASSED
